# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8470783205002157,4.851293489691967,-8.378454775608773,0,2.5,0.02905981174259091,180.0,0.0,0.037578634900431264
 0.09454869336521352,1.8581333784450484,4.8496652682653325,-8.378454775608773,0.2363717334130338,2.5,0.02905981174259091,-179.99644698917172,0.4761100329041146,0.2735924932303685
 0.1335061636429246,1.8691209247428004,4.848050624074338,-8.359906733152991,0.3337654091073115,2.499999999999999,0.029827911771786307,-179.9857885177485,0.6359297962679074,0.5969760694352962
 0.1632598670682547,1.8800415351407407,4.846449500368019,-8.340985466595505,0.4081496676706367,2.4999999999999987,0.03061025201116456,-179.9680262688265,0.7729395895437055,0.9958189414403459
 0.1882274796743608,1.8908957853861381,4.844861840395409,-8.321687010355856,0.47056869918590194,2.5000000000000013,0.03140693905614269,-179.9431630472708,0.8987870901643135,1.4596582738545112
 0.21012319908419166,1.9016842512262624,4.84328758740554,-8.30200742042044,0.5253079977104792,2.500000000000004,0.03221807216630553,-179.91120277927223,1.0182771694545438,1.981895807804714
 0.2298276998913567,1.9124075084083827,4.8417266846474485,-8.281942777113006,0.5745692497283917,2.4999999999999964,0.03304374526097829,-179.87215051172763,1.1339571495994478,2.5579192234922377
 0.24786505613822796,1.9230661326797678,4.840179075370169,-8.261489188036993,0.6196626403455698,2.4999999999999987,0.03388404418269447,-179.82601241144278,1.2473702001162679,3.1842845537774878
 0.26457733369556585,1.933660699787687,4.838644702822732,-8.240642791035897,0.6614433342389145,2.4999999999999982,0.03473904602626423,-179.7727957641585,1.3595346519139784,3.8582992271487653
 0.2802025579741566,1.94419178547941,4.837123510254173,-8.219399757185226,0.7005063949353915,2.5000000000000018,0.03560882206600213,-179.7125089734004,1.4711643419080778,4.577784689237883
 0.29491434955474394,1.9546599655022054,4.835615440913528,-8.197756294006282,0.7372858738868597,2.4999999999999964,0.03649343341463709,-179.64516155915152,1.5827828629204104,5.340930176260608
 0.30884402104396746,1.9650658156033427,4.834120438049828,-8.175708648687028,0.7721100526099185,2.499999999999996,0.03739293231015018,-179.57076415634933,1.6947881061879344,6.146197146168389
 0.32209378202730604,1.9754099115300912,4.832638444912108,-8.153253111362634,0.805234455068265,2.500000000000002,0.03830736333451676,-179.48932851320612,1.8074911542204197,6.992253868056621
 0.33474507094233796,1.98569282902972,4.831169404749402,-8.130386018559227,0.8368626773558447,2.499999999999998,0.03923675788327192,-179.40086748935408,1.9211409480576063,7.877928962979343
 0.3468640473876103,1.9959151438494982,4.829713260810744,-8.107103756661669,0.8671601184690255,2.499999999999998,0.04018114084322194,-179.3053950538142,2.035940572501705,8.802177384497647
 0.3585053455059267,2.006077431736695,4.828269956345167,-8.083402765506,0.8962633637648166,2.500000000000002,0.04114052285374662,-179.20292628279097,2.152058380620704,9.764054864180741
 0.3697147177413669,2.01618026843858,4.826839434601706,-8.059279542045223,0.9242867943534171,2.500000000000005,0.0421149059605836,-179.0934773572911,2.269635807015038,10.762698293540401
 0.38053094556336736,2.026224229702422,4.825421638829395,-8.034730644083579,0.9513273639084182,2.4999999999999925,0.04310427847795634,-178.97706556056872,2.3887929817539284,11.797310378149897
 0.390987251383821,2.0362098912754902,4.824016512277268,-8.009752694124607,0.9774681284595523,2.5,0.04410861743151472,-178.85370927539597,2.5096328500276197,12.867147435138909
 0.4011123622440451,2.046137828905054,4.822623998194357,-7.984342383299617,1.0027809056101125,2.4999999999999862,0.04512788720835186,-178.72342798116034,2.632244253400703,13.971509548995021
 0.41093132489019824,2.056008618338382,4.821244039829699,-7.958496475299924,1.0273283122254953,2.5,0.0461620382323272,-178.5862422507884,2.7567042364666534,15.10973252706917
 0.4204661398204405,2.0658228353227446,4.819876580432324,-7.9322118105878,1.0511653495511009,2.499999999999991,0.04721100749067072,-178.44217374749732,2.883079859209423,16.281181249841733
 0.429736261183711,2.07558105560541,4.818521563251269,-7.905485310392928,1.0743406529592772,2.500000000000009,0.048274717813681714,-178.29124522137388,3.011429547855062,17.485244116697373
 0.43875899569854254,2.0852838549336483,4.817178931535568,-7.8783139810725125,1.0968974892463559,2.4999999999999845,0.04935307776227181,-178.1334805057819,3.141804189968034,18.721328363132248
 0.4475498244789985,2.0949318090547275,4.815848628534253,-7.850694918376784,1.1188745611974957,2.499999999999997,0.050445978498608206,-177.96890451359891,3.2742479805596156,19.98885607897085
 0.45612266524787615,2.104525493715918,4.8145305974963595,-7.822625311801628,1.1403066631196899,2.5,0.051553297903107566,-177.79754323328189,3.4087990809874897,21.287260796249456
 0.46449008791550966,2.1140654846644877,4.81322478167092,-7.794102449101964,1.1612252197887736,2.4999999999999902,0.0526748962280627,-177.61942372476352,3.5454901649464867,22.615984544739046
 0.4726634932881094,2.123552357647707,4.81193112430697,-7.765123720739291,1.181658733220273,2.50000000000001,0.05381061689132234,-177.43457411517892,3.6843488236881883,23.974475294569356
 0.4806532623404485,2.1329866884128448,4.810649568653542,-7.735686624529766,1.2016331558511206,2.499999999999993,0.05496028605286773,-177.2430235944243,3.825397913532811,25.362184722290106
 0.48846888177730863,2.14236905270717,4.80938005795967,-7.705788770243034,1.221172204443271,2.499999999999986,0.05612371277537745,-177.04480241054753,3.968655815151203,26.778566249166932
