# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.65,4.61,175.25738436502587,0,3.0,-0.1622083167308941,0.0,0.0,-0.11887070690553064
 0.0594473099589956,6.644717175659418,4.610438283299757,175.25738436502587,0.17834192987698683,3.0000000000000004,-0.1622083167308941,-0.007066543758457999,-1.99489451327419,-0.8547908328521081
 0.0842469621914208,6.639390508882625,4.610884835296771,175.2079116748563,0.25274088657426247,3.0000000000000013,-0.1560232261102978,-0.02826505914465538,-2.505821082101769,-1.8449279943446564
 0.10339521059509874,6.634020199027917,4.6113395753040605,175.159929590321,0.3101856317852963,3.0000000000000013,-0.15007953132127835,-0.06359219866726618,-2.865108655092102,-3.0447103589026243
 0.11963655353584182,6.628606445453593,4.611802422634648,175.11339637809118,0.35890966060752555,3.0,-0.14436541788950474,-0.11304238376143666,-3.1347569303392664,-4.4158390562481316
 0.13403142189462355,6.623149447517949,4.6122732966015505,175.06827196474217,0.4020942656838708,3.000000000000004,-0.13886975501970245,-0.17660780566969547,-3.342322687837931,-5.933163507807271
 0.14712235068887522,6.617649404579282,4.6127521165177905,175.02451785642825,0.4413670520666258,3.0,-0.13358204547954253,-0.2542784266750529,-3.5033912331564294,-7.57844472871593
 0.15923084501664952,6.612106515995889,4.613238801696389,174.9820970635536,0.47769253504994874,3.000000000000002,-0.128492387746097,-0.3460419816860608,-3.6279626944413317,-9.33760921016552
 0.17056586623089645,6.60652098112607,4.613733271450365,174.94097402944763,0.5116975986926895,2.9999999999999973,-0.12359143503406451,-0.45188398017363446,-3.722981456396839,-11.19933098719919
 0.18127219578064044,6.600892999328117,4.61423544509274,174.90111456306786,0.5438165873419214,2.9999999999999947,-0.11887036043069783,-0.5717877084592486,-3.7935388757426654,-13.15421423203134
 0.1914549799083927,6.5952227699603325,4.614745241936534,174.86248577561594,0.5743649397251782,3.0000000000000053,-0.11432082267043762,-0.7057342323542302,-3.8435179369294072,-15.194283398378175
 0.20119339032999128,6.5895104923810095,4.6152625812947665,174.82505602048332,0.6035801709899741,3.0000000000000084,-0.10993493663153385,-0.8537024001497187,-3.875969691715123,-17.31264584657219
 0.2105487740906457,6.583756365948448,4.615787382480458,174.7887948365727,0.6316463222719373,2.9999999999999942,-0.10570524313078697,-1.0156688459567014,-3.893347829315545,-19.50325810330354
 0.21956978722123172,6.577960590020943,4.61631956480663,174.7536728946825,0.6587093616636953,3.0,-0.10162468247028993,-1.1916079933958106,-3.897662484541626,-21.760757856178458
 0.22829577312187438,6.572123363956792,4.616859047586301,174.71966194679692,0.6848873193656232,2.999999999999987,-0.09768657092711866,-1.3814920596361229,-3.8905853457478266,-24.080339506957827
 0.23675906742415573,6.566244887114293,4.617405750132492,174.6867347780077,0.7102772022724673,3.000000000000003,-0.09388457750405202,-1.5852910597823595,-3.8735239470568565,-26.457659648785764
 0.2449866187161891,6.5603253588517445,4.617959591758225,174.65486516105236,0.7349598561485674,3.0000000000000036,-0.09021269968344281,-1.802972811609906,-3.8476757143867744,-28.888763732604385
 0.2530011579044988,6.554364978527441,4.618520491776519,174.6240278132555,0.7590034737134964,2.999999999999993,-0.08666524819229048,-2.0345029406466835,-3.814068257602287,-31.370028129669574
 0.2608220608358105,6.54836394549968,4.6190883695003935,174.59419835563943,0.7824661825074316,3.000000000000007,-0.08323682490472888,-2.279844885601347,-3.7735900354051513,-33.89811363226762
 0.2684659970543938,6.54232245912676,4.61966314424287,174.5653532740937,0.8053979911631813,2.9999999999999853,-0.07992230541794286,-2.5389599041366893,-3.7270140838679415,-36.46992761854789
 0.2759474260746166,6.536240718766977,4.6202447353169696,174.53746988276785,0.8278422782238498,3.0000000000000075,-0.07671682604089176,-2.8118070789875187,-3.6750167584866493,-39.08259289294969
 0.28327898276583496,6.530118923778628,4.620833062035711,174.51052628906186,0.8498369482975049,2.9999999999999925,-0.0736157652831733,-3.098343324421988,-3.6181926565173685,-41.73342174790349
 0.2904717806733876,6.52395727352001,4.621428043712115,174.4845013604929,0.8714153420201627,2.9999999999999925,-0.07061473197462395,-3.398523393045319,-3.557066693135887,-44.41989416501037
 0.2975356536473738,6.517755967349422,4.622029599659203,174.4593746932126,0.8926069609421213,3.000000000000008,-0.0677095496091807,-3.712299882944863,-3.4921039646963288,-47.139639337678986
 0.30447935043482377,6.5115152046251605,4.622637649189993,174.43512658213152,0.9134380513044713,3.0,-0.0648962477649595,-4.039623245175456,-3.423717917539803,-49.89041988795445
 0.31131069294855135,6.505235184705522,4.623252111617507,174.4117379923664,0.9339320788456541,3.000000000000008,-0.06217104671775365,-4.380441791583759,-3.3522771140705268,-52.67011829061811
 0.31803670615839325,6.498916106948803,4.623872906254766,174.38919053221412,0.9541101184751798,3.0,-0.05953034928621125,-4.7347017029703915,-3.2781109291398476,-55.4767251217048
 0.3246637255762068,6.492558170713301,4.624499952414789,174.36746642743296,0.9739911767286205,2.9999999999999916,-0.056970729992603185,-5.102347037588635,-3.201514384617412,-58.30832882758155
 0.3311974868766923,6.486161575357315,4.625133169410597,174.34654849664378,0.993592460630077,3.0000000000000084,-0.05448892474323591,-5.4833197399782705,-3.1227522339089457,-61.16310677074869
 0.33764320114743157,6.479726520239138,4.625772476555211,174.32642012800574,1.0129296034422948,3.0,-0.05208182200564089,-5.877559650133234,-3.0420624701396393,-64.03931735544434
